"ID";"Sex";"Regions";"Periods";"PopulationOn31December_20"
"3531";"T001038";"GM1680";"2014JJ00";"   25203"
"3532";"T001038";"GM1680";"2015JJ00";"   25243"
"3533";"T001038";"GM1680";"2016JJ00";"   25286"
"3534";"T001038";"GM1680";"2017JJ00";"   25390"
"3535";"T001038";"GM1680";"2018JJ00";"   25386"
"3536";"T001038";"GM1680";"2019JJ00";"   25445"
"3537";"T001038";"GM1680";"2020JJ00";"   25399"
"3592";"T001038";"GM1000";"2014JJ00";""
"3593";"T001038";"GM1000";"2015JJ00";""
"3594";"T001038";"GM1000";"2016JJ00";""
"3595";"T001038";"GM1000";"2017JJ00";""
"3596";"T001038";"GM1000";"2018JJ00";""
"3597";"T001038";"GM1000";"2019JJ00";""
"3598";"T001038";"GM1000";"2020JJ00";""
"3653";"T001038";"GM0738";"2014JJ00";"   12922"
"3654";"T001038";"GM0738";"2015JJ00";"   13038"
"3655";"T001038";"GM0738";"2016JJ00";"   13067"
"3656";"T001038";"GM0738";"2017JJ00";"   13153"
"3657";"T001038";"GM0738";"2018JJ00";"   13321"
"3658";"T001038";"GM0738";"2019JJ00";""
"3659";"T001038";"GM0738";"2020JJ00";""
"3714";"T001038";"GM0358";"2014JJ00";"   31077"
"3715";"T001038";"GM0358";"2015JJ00";"   31299"
"3716";"T001038";"GM0358";"2016JJ00";"   31373"
"3717";"T001038";"GM0358";"2017JJ00";"   31499"
"3718";"T001038";"GM0358";"2018JJ00";"   31728"
"3719";"T001038";"GM0358";"2019JJ00";"   31859"
"3720";"T001038";"GM0358";"2020JJ00";"   31991"
"3775";"T001038";"GM0197";"2014JJ00";"   26904"
"3776";"T001038";"GM0197";"2015JJ00";"   26912"
"3777";"T001038";"GM0197";"2016JJ00";"   27047"
"3778";"T001038";"GM0197";"2017JJ00";"   26962"
"3779";"T001038";"GM0197";"2018JJ00";"   27011"
"3780";"T001038";"GM0197";"2019JJ00";"   27121"
"3781";"T001038";"GM0197";"2020JJ00";"   27120"
"3836";"T001038";"GM0480";"2014JJ00";""
"3837";"T001038";"GM0480";"2015JJ00";""
"3838";"T001038";"GM0480";"2016JJ00";""
"3839";"T001038";"GM0480";"2017JJ00";""
"3840";"T001038";"GM0480";"2018JJ00";""
"3841";"T001038";"GM0480";"2019JJ00";""
"3842";"T001038";"GM0480";"2020JJ00";""
